District_Code,Township_Code,Township_NameEn,Postal_Code
MMR017D006,MMR017024701,Bogale,10230
MMR017D005,MMR017022701,Danubyu,10150
MMR017D006,MMR017026701,Dedaye,10260
MMR017D003,MMR017015701,Einme,10190
MMR017D002,MMR017008703,Du Yar,10690
MMR017D002,MMR017008701,Hinthada,10060
MMR017D002,MMR017008702,Ta Loke Htaw,10680
MMR017D002,MMR017013702,Htoogyi,10660
MMR017D002,MMR017013701,Ingapu,10050
MMR017D002,MMR017013703,Me Za Li Kone,10670
MMR017D001,MMR017002701,Kangyidaunt,10020
MMR017D006,MMR017025701,Kyaiklat,10240
MMR017D002,MMR017012702,Batye,10630
MMR017D002,MMR017012701,Kyangin,10030
MMR017D001,MMR017007701,Kyaunggon,10100
MMR017D001,MMR017005702,Ahtaung,10720
MMR017D001,MMR017005701,Kyonpyaw,10090
MMR017D004,MMR017016703,Labutta (3) Mile,10740
MMR017D004,MMR017016701,Labutta,10120
MMR017D004,MMR017016702,Pyinsalu,10730
MMR017D002,MMR017010701,Lemyethna,10070
MMR017D005,MMR017019701,Maubin,10180
MMR017D004,MMR017018701,Mawlamyinegyun,10220
MMR017D002,MMR017011703,In Pin,10650
MMR017D002,MMR017011702,Kanaung,10640
MMR017D002,MMR017011701,Myanaung,10040
MMR017D003,MMR017014701,Myaungmya,10210
MMR017D001,MMR017004703,Hainggyikyun,10760
MMR017D001,MMR017004701,Ngapudaw,10130
MMR017D001,MMR017004702,Ngayokekaung,10750
MMR017D005,MMR017021701,Nyaungdon,10160
MMR017D005,MMR017020701,Pantanaw,10170
MMR017D001,MMR017001704,Chaung Thar,10620
MMR017D001,MMR017001703,Ngwesaung,10610
MMR017D001,MMR017001701,Pathein,10010
MMR017D001,MMR017001702,Shwethaungyan,10600
MMR017D006,MMR017023702,Ahmar,10780
MMR017D006,MMR017023701,Pyapon,10250
MMR017D001,MMR017003701,Thabaung,10110
MMR017D003,MMR017017702,Kyonmangae,10770
MMR017D003,MMR017017701,Wakema,10200
MMR017D001,MMR017006703,Ahthoke,10710
MMR017D001,MMR017006702,Ngathaingchaung,10700
MMR017D001,MMR017006701,Yegyi,10080
MMR017D002,MMR017009701,Zalun,10140
MMR007D001,MMR007001701,Bago,08010
MMR007D001,MMR007001702,Hpayargyi,08600
MMR007D001,MMR007001703,Inntakaw,08610
MMR007D001,MMR007007701,Daik-U,08060
MMR007D002,MMR007014701,Htantabin,08130
MMR007D001,MMR007003701,Kawa,08090
MMR007D001,MMR007003702,Thetkala,08670
MMR007D002,MMR007011701,Kyaukkyi,08040
MMR007D001,MMR007006703,Hpa Do,08630
MMR007D001,MMR007006701,Kyauktaga,08020
MMR007D001,MMR007006702,Penwegon,08620
MMR007D001,MMR007005702,Madauk,08640
MMR007D001,MMR007005701,Nyaunglebin,08030
MMR007D001,MMR007005704,Peinzalok,08660
MMR007D001,MMR007005703,Pyuntasa,08650
MMR007D002,MMR007013702,Kywe Pwe,08720
MMR007D002,MMR007013701,Oktwin,08120
MMR007D002,MMR007012702,Kanyutkwin,08730
MMR007D002,MMR007012701,Phyu,08140
MMR007D002,MMR007012703,Zayyawadi,08740
MMR007D001,MMR007008701,Shwegyin,08050
MMR007D002,MMR007009702,Kaytumati,08680
MMR007D002,MMR007009701,Taungoo,08100
MMR007D001,MMR007002701,Thanatpin,08080
MMR007D001,MMR007004701,Waw,08070
MMR007D002,MMR007010702,Hswar,08690
MMR007D002,MMR007010704,Myo Hla,08710
MMR007D002,MMR007010703,Yae Ni,08700
MMR007D002,MMR007010701,Yedashe,08110
MMR008D002,MMR008014701,Gyobingauk,18140
MMR008D002,MMR008008701,Letpadan,18080
MMR008D002,MMR008009701,Minhla,18090
MMR008D002,MMR008009702,Sit Kwin,18660
MMR008D002,MMR008013701,Monyo,18130
MMR008D002,MMR008012701,Nattalin,18120
MMR008D002,MMR008012702,Tar Pun,18680
MMR008D002,MMR008010702,Oe Thei Kone,18670
MMR008D002,MMR008010701,Okpho,18100
MMR008D001,MMR008003702,Oakshitpin,18610
MMR008D001,MMR008003701,Padaung,18030
MMR008D001,MMR008002701,Paukkhaung,18020
MMR008D001,MMR008004701,Paungde,18040
MMR008D001,MMR008001702,Paungdale,18600
MMR008D001,MMR008001701,Pyay,18010
MMR008D001,MMR008006701,Shwedaung,18060
MMR008D002,MMR008007701,Thayarwady,18070
MMR008D002,MMR008007702,Thonse,18650
MMR008D001,MMR008005703,Inn Ma,18630
MMR008D001,MMR008005702,Puteekone,18620
MMR008D001,MMR008005704,Sin Mee Swea,18640
MMR008D001,MMR008005701,Thegon,18050
MMR008D002,MMR008011701,Zigon,18110
MMR004D001,MMR004001701,Falam,03030
MMR004D001,MMR004001702,Rihkhawdar,03620
MMR004D001,MMR004001703,Webula,03630
MMR004D003,MMR004002701,Hakha,03010
MMR004D003,MMR004002702,Surkhua,03600
MMR004D002,MMR004008701,Kanpetlet,03080
MMR004D002,MMR004008702,Kyin Dway,03690
MMR004D004,MMR004007703,Lalengpi,03670
MMR004D004,MMR004007701,Matupi,03060
MMR004D004,MMR004007702,Rezua,03660
MMR004D002,MMR004006701,Mindat,03070
MMR004D002,MMR004006702,M'kuiimnu,03680
MMR004D004,MMR004009701,Paletwa,03090
MMR004D004,MMR004009702,Samee,03700
MMR004D001,MMR004004702,Khaikam,03640
MMR004D001,MMR004004701,Tedim,03040
MMR004D003,MMR004003702,Hnaring,03610
MMR004D003,MMR004003701,Thantlang,03020
MMR004D001,MMR004005702,Cikha,03650
MMR004D001,MMR004005701,Tonzang,03050
MMR001D003,MMR001010701,Bhamo,01130
MMR001D001,MMR001005701,Chipwi,01070
