SR_Pcode,SR_Name_Eng,District/SAZ_Pcode,District/SAZ_Name_Eng,Tsp_Pcode,Township_Name_Eng,Town_Pcode,Town_Name_Eng,Town_Name_MMR,Longitude,Latitude
MMR005,Sagaing,MMR005D008,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036701,Lahe Town,လဟယ်,95.44113,26.32594
MMR005,Sagaing,MMR005D008,Naga Self-Administered Zone,MMR005036,Lahe,MMR005036702,Thangpakwe Town,ထန်ပါခွေ,95.24148,25.96589
MMR005,Sagaing,MMR005D008,Naga Self-Administered Zone,MMR005035,Layshi,MMR005035701,Layshi Town,လေရှီး,94.95663,25.44706
MMR005,Sagaing,MMR005D008,Naga Self-Administered Zone,MMR005035,Layshi,MMR005035702,Mowailut Town,မိုပိုင်းလွတ်,94.78748,25.04671
MMR005,Sagaing,MMR005D008,Naga Self-Administered Zone,MMR005035,Layshi,MMR005035703,Somra Town,ဆွမ္မရာ,94.68729,25.36455
MMR005,Sagaing,MMR005D008,Naga Self-Administered Zone,MMR005037,Nanyun,MMR005037703,Dohi Town,ဒုံဟီး,95.79165,26.7757
MMR005,Sagaing,MMR005D008,Naga Self-Administered Zone,MMR005037,Nanyun,MMR005037701,Namyung Town,နန်းယွန်း,96.16705,26.97979
MMR005,Sagaing,MMR005D008,Naga Self-Administered Zone,MMR005037,Nanyun,MMR005037702,Pansau Town,ပန်ဆောင်,96.16712,27.23683
MMR005,Sagaing,MMR005D008,Hkamti,MMR005034,Homalin,MMR005034703,Mo Waing Lut Town,မိုဝိုင်းလွတ်,94.9645,25.0834
MMR016,Shan (East),MMR016D333,Mong Pawk (Wa SAD),MMR016320,Ho Tawng (Ho Tao),MMR016320701,Ho Tawng (Ho Tao) Town,ဟိုတောင်း,99.55067,22.04143
MMR016,Shan (East),MMR016D333,Mong Pawk (Wa SAD),MMR016319,Mong Hpen,MMR016319701,Mong Hpen Town,မိုင်းဖျန်,99.59892,21.98542
MMR016,Shan (East),MMR016D333,Mong Pawk (Wa SAD),MMR016322,Mong Kar,MMR016322701,Mong Kar Town,မိုင်းကာ,99.41942,21.84343
MMR016,Shan (East),MMR016D333,Mong Pawk (Wa SAD),MMR016321,Mong Pawk,MMR016321701,Mong Pawk Town,မိုင်းပေါက်,99.3101,22.00822
