SR_Pcode,SR_Name_Eng,District/SAZ_Pcode,District/SAZ_Name_Eng,Tsp_Pcode,Township_Name_Eng,Town_Pcode,Town_Name_Eng,Town_Name_MMR,Longitude,Latitude
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024701,Bogale Town,ဘိုကလေး,95.3968,16.295
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017022,Danubyu,MMR017022701,Danubyu Town,ဓနုဖြူ,95.59583,17.25468
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017026,Dedaye,MMR017026701,Dedaye Town,ဒေးဒရဲ,95.88512,16.40806
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017015,Einme,MMR017015701,Einme Town,အိမ်မဲ,95.1805,16.8962
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017008,Hinthada,MMR017008703,Du Yar Town,ဒူးယား,95.4802,17.5616
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017008,Hinthada,MMR017008701,Hinthada Town,ဟင်္သာတ,95.45818,17.64958
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017008,Hinthada,MMR017008702,Ta Loke Htaw Town,တလုတ္ထော်,95.3046,17.6419
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017013,Ingapu,MMR017013702,Htoogyi Town,ထူးကြီး,95.26073,17.97132
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017013,Ingapu,MMR017013701,Ingapu Town,အင်္ဂပူ,95.26926,17.80981
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017013,Ingapu,MMR017013703,Me Za Li Kone Town,မဲဇလီကုန်း,95.2288,17.9009
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017002,Kangyidaunt,MMR017002701,Kangyidaunt Town,ကန်ကြီးထောင့်,94.89476,16.9329
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017025,Kyaiklat,MMR017025701,Kyaiklat Town,ကျိုက်လတ်,95.72614,16.44431
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017012,Kyangin,MMR017012702,Batye Town,ဘက်ရဲ,95.14703,18.30044
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017012,Kyangin,MMR017012701,Kyangin Town,ကြံခင်း,95.23914,18.34035
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017007,Kyaunggon,MMR017007701,Kyaunggon Town,ကျောင်းကုန်း,95.1904,17.10768
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017005,Kyonpyaw,MMR017005702,Ahtaung Town,အထောင်,95.33365,17.34855
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017005,Kyonpyaw,MMR017005701,Kyonpyaw Town,ကျုံပျော်,95.2,17.3
MMR017,Ayeyarwady,MMR017D004,Labutta,MMR017016,Labutta,MMR017016703,Labutta (3) Mile Town,လပွတ္တာ (၃) မိုင်,94.78124,16.19983
MMR017,Ayeyarwady,MMR017D004,Labutta,MMR017016,Labutta,MMR017016701,Labutta Town,လပွတ္တာ,94.75889,16.14557
MMR017,Ayeyarwady,MMR017D004,Labutta,MMR017016,Labutta,MMR017016702,Pyinsalu Town,ပြင်စလူ,94.80943,15.82677
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017010,Lemyethna,MMR017010701,Lemyethna Town,လေးမျက်နှာ,95.17454,17.60038
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017019,Maubin,MMR017019701,Maubin Town,မအူပင်,95.6494,16.73023
MMR017,Ayeyarwady,MMR017D004,Labutta,MMR017018,Mawlamyinegyun,MMR017018701,Mawlamyinegyun Town,မော်လမြိုင်ကျွန်း,95.26298,16.37894
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017011,Myanaung,MMR017011703,In Pin Town,အင်ပင်,95.269,18.0935
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017011,Myanaung,MMR017011702,Kanaung Town,ကနောင်,95.38137,18.21566
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017011,Myanaung,MMR017011701,Myanaung Town,မြန်အောင်,95.31779,18.28696
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017014,Myaungmya,MMR017014701,Myaungmya Town,မြောင်းမြ,94.92977,16.59926
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017004,Ngapudaw,MMR017004703,Hainggyikyun Town,ဟိုင်းကြီးကျွန်း,94.34411,16.01602
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017004,Ngapudaw,MMR017004701,Ngapudaw Town,ငပုတော,94.69224,16.5431
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017004,Ngapudaw,MMR017004702,Ngayokekaung Town,ငရုတ်ကောင်း,94.3019,16.52089
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017021,Nyaungdon,MMR017021701,Nyaungdon Town,ညောင်တုန်း,95.63359,17.04903
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017020,Pantanaw,MMR017020701,Pantanaw Town,ပန်းတနော်,95.46595,16.98212
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017001,Pathein,MMR017001704,Chaung Thar Town,ချောင်းသာ,94.4447,16.9597
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017001,Pathein,MMR017001703,Ngwesaung Town,ငွေဆောင်,94.38711,16.86379
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017001,Pathein,MMR017001701,Pathein Town,ပုသိမ်,94.73303,16.77924
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017001,Pathein,MMR017001702,Shwethaungyan Town,ရွှေသောင်ယံ,94.46133,17.07674
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017023,Pyapon,MMR017023702,Ahmar Town,အမာ,95.29017,15.7994
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017023,Pyapon,MMR017023701,Pyapon Town,ဖျာပုံ,95.68019,16.29161
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017003,Thabaung,MMR017003701,Thabaung Town,သာပေါင်း,94.80589,17.04734
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017017,Wakema,MMR017017702,Kyonmangae Town,ကျုံမငေး,95.1319,16.43803
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017017,Wakema,MMR017017701,Wakema Town,ဝါးခယ်မ,95.18041,16.60383
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017006,Yegyi,MMR017006703,Ahthoke Town,အသုတ်,95.08331,17.19974
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017006,Yegyi,MMR017006702,Ngathaingchaung Town,ငသိုင်းချောင်း,95.07731,17.39927
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017006,Yegyi,MMR017006701,Yegyi Town,ရေကြည်,95.12067,17.34456
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017009,Zalun,MMR017009701,Zalun Town,ဇလွန်,95.55666,17.4781
MMR007,Bago (East),MMR007D001,Bago,MMR007001,Bago,MMR007001701,Bago Town,ပဲခူး,96.48389,17.33583
MMR007,Bago (East),MMR007D001,Bago,MMR007001,Bago,MMR007001702,Hpayargyi Town,ဘုရားကြီး,96.52654,17.47538
MMR007,Bago (East),MMR007D001,Bago,MMR007001,Bago,MMR007001703,Inntakaw Town,အင်းတကော်,96.37637,17.18087
MMR007,Bago (East),MMR007D001,Bago,MMR007007,Daik-U,MMR007007701,Daik-U Town,ဒိုက်ဦး,96.66969,17.78967
MMR007,Bago (East),MMR007D001,Bago,MMR007003,Kawa,MMR007003701,Kawa Town,ကဝ,96.46632,17.08967
MMR007,Bago (East),MMR007D001,Bago,MMR007003,Kawa,MMR007003702,Thetkala Town,သက္ကလ,96.59657,17.02939
MMR007,Bago (East),MMR007D002,Taungoo,MMR007011,Kyaukkyi,MMR007011701,Kyaukkyi Town,ကျောက်ကြီး,96.76862,18.32764
MMR007,Bago (East),MMR007D001,Bago,MMR007006,Kyauktaga,MMR007006703,Hpa Do Town,ဖဒို,96.5549,18.0377
MMR007,Bago (East),MMR007D001,Bago,MMR007006,Kyauktaga,MMR007006701,Kyauktaga Town,ကျောက်တံခါး,96.61391,18.15867
MMR007,Bago (East),MMR007D001,Bago,MMR007006,Kyauktaga,MMR007006702,Penwegon Town,ပဲနွယ်ကုန်း,96.56886,18.22271
MMR007,Bago (East),MMR007D001,Bago,MMR007005,Nyaunglebin,MMR007005702,Madauk Town,မဒေါက်,96.84535,17.91491
